linea,etiqueta,tag_gaap,subtotal,2026-03-31,2025-12-31,2025-03-31,2024-12-31,2024-03-31,2023-12-31,2023-03-31,2022-12-31,2022-03-31,2021-12-31,2021-03-31,2020-12-31,2020-03-31,2019-12-31,2019-03-31
flujo_operacion,Flujo de efectivo de operación,NetCashProvidedByUsedInOperatingActivities,True,283236000.0,304633000.0,273213000.0,296347000.0,1035547000.0,260745000.0,282727000.0,301028000.0,235882000.0,301083000.0,188444000.0,244954000.0,179697000.0,234592000.0,142846000.0
adquisicion_inmuebles,Adquisición de inmuebles,PaymentsToAcquireRealEstate,False,494727000.0,615431000.0,176927000.0,552093000.0,193744000.0,303126000.0,143645000.0,131784000.0,265426000.0,302425000.0,150922000.0,306193000.0,197626000.0,366084000.0,164929000.0
venta_inmuebles,Producto de venta de inmuebles,ProceedsFromSaleOfRealEstateHeldforinvestment,False,146493000.0,510125000.0,110437000.0,121922000.0,60868000.0,258724000.0,41025000.0,64311000.0,26684000.0,36941000.0,88037000.0,198558000.0,105154000.0,281481000.0,4851000.0
flujo_inversion,Flujo de efectivo de inversión,NetCashProvidedByUsedInInvestingActivities,True,-462762000.0,-203159000.0,-173870000.0,-697870000.0,-236972000.0,-113357000.0,-587272000.0,-33106000.0,-229054000.0,-513461000.0,-76466000.0,-262081000.0,-109832000.0,-101515000.0,-154163000.0
pago_deuda,Amortización de deuda,RepaymentsOfLinesOfCredit,False,1267286000.0,704021000.0,443243000.0,254550000.0,740453000.0,462303000.0,635648000.0,811138000.0,196840000.0,484317000.0,407975000.0,346266000.0,466643000.0,228997000.0,128452000.0
emision_acciones,Emisión de acciones,ProceedsFromIssuanceOfCommonStock,False,247059000.0,,0.0,0.0,0.0,-249806000.0,249943000.0,0.0,178994000.0,37462000.0,140220000.0,158000.0,0.0,-244000.0,303831000.0
dividendos_pagados,Dividendos pagados,PaymentsOfDividendsCommonStock,False,205334000.0,200608000.0,195050000.0,192690000.0,190331000.0,230367000.0,226697000.0,221955000.0,203131000.0,197041000.0,185426000.0,184098000.0,180274000.0,179402000.0,171408000.0
flujo_financiamiento,Flujo de efectivo de financiamiento,NetCashProvidedByUsedInFinancingActivities,True,210987000.0,-179365000.0,-581194000.0,226030000.0,-379038000.0,321982000.0,307174000.0,-306170000.0,35697000.0,251183000.0,-132780000.0,100687000.0,-32543000.0,-277048000.0,-104717000.0
cambio_neto_efectivo,Variación neta de efectivo,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,True,15315000.0,-77184000.0,-473072000.0,-188428000.0,412052000.0,478047000.0,6690000.0,-25872000.0,40681000.0,36028000.0,-27281000.0,89010000.0,32772000.0,-137211000.0,-118384000.0
